prefix,total_count,entropy,max_byte,max_count,nz
0a0ae5ae8be6b0,1,0,b8,1,255
0a0ae5ae8be6b0b8,1,0,e5,1,255
0a0ae5ae8be6b0b8e5,1,0,88,1,255
0a0ae5ae8be7,1,0,8e,1,255
0a0ae5ae8be78e,1,0,8b,1,255
0a0ae5ae8be78e8b,1,0,e4,1,255
0a0ae5ae8be78e8be4,1,0,bb,1,255
0a0ae5ae8be8,1,0,a5,1,255
0a0ae5ae8be8a5,1,0,84,1,255
0a0ae5ae8be8a584,1,0,e5,1,255
0a0ae5ae8be8a584e5,1,0,9f,1,255
0a0ae5ae8be9,1,0,85,1,255
0a0ae5ae8be985,1,0,92,1,255
0a0ae5ae8be98592,1,0,e6,1,255
0a0ae5ae8be98592e6,1,0,b3,1,255
0a0ae5ae97,2,0,e6,2,255
0a0ae5ae97e6,1,0,b7,1,255
0a0ae5ae97e6b7,1,0,b5,1,255
0a0ae5ae97e6b7b5,1,0,e5,1,255
0a0ae5ae97e6b7b5e5,1,0,ad,1,255
0a0ae5b5,2,0,a9,2,255
0a0ae5b5a9,2,0,e9,2,255
0a0ae5b5a9e9,1,0,ab,1,255
0a0ae5b5a9e9ab,1,0,98,1,255
0a0ae5b5a9e9ab98,1,0,e5,1,255
0a0ae5b5a9e9ab98e5,1,0,b1,1,255
0a0ae5b9,4,1,b2,2,254
0a0ae5b9b2,2,0,e5,2,255
0a0ae5b9b2e5,1,0,af,1,255
0a0ae5b9b2e5af,1,0,b6,1,255
0a0ae5b9b2e5afb6,1,0,e5,1,255
0a0ae5b9b2e5afb6e5,1,0,ad,1,255
0a0ae5b9b3,2,0,e6,2,255
0a0ae5b9b3e6,1,0,a8,1,255
0a0ae5b9b3e6a8,1,0,82,1,255
0a0ae5b9b3e6a882,1,0,e7,1,255
0a0ae5b9b3e6a882e7,1,0,b8,1,255
0a0ae5bb,8,0,ac,8,255
0a0ae5bbac,8,1,e6,4,254
0a0ae5bbace6,2,0,b1,2,255
0a0ae5bbace6b1,2,0,9f,2,255
0a0ae5bbace6b19f,2,1,e6,1,254
0a0ae5bbace6b19fe6,1,0,9d,1,255
0a0ae5bbace6b19fe7,1,0,ae,1,255
0a0ae5bbace9,2,0,99,2,255
0a0ae5bbace999,2,0,b5,2,255
0a0ae5bbace999b5,2,0,e5,2,255
0a0ae5bbace999b5e5,2,0,b7,2,255
0a0ae6,94,3.03324,99,42,239
0a0ae689,2,0,bf,2,255
0a0ae689bf,2,0,e5,2,255
0a0ae689bfe5,1,0,84,1,255
0a0ae689bfe584,1,0,89,1,255
0a0ae689bfe58489,1,0,e8,1,255
0a0ae689bfe58489e8,1,0,80,1,255
0a0ae690,2,0,9c,2,255
0a0ae6909c,2,0,e7,2,255
0a0ae6909ce7,1,0,a5,1,255
0a0ae6909ce7a5,1,0,9e,1,255
0a0ae6909ce7a59e,1,0,e5,1,255
0a0ae6909ce7a59ee5,1,0,be,1,255
